Treatment,Time_point,Days,Plot ,Replicate ,ID,d15N,d13C,perctN,perctC,ratioCN
Enriched,7,14,B,6,B6,1.136,-15.4342602,2.476714904,25.41024744,10.25965782
Enriched,7,14,B,8,B8,1.53,-16.8475752,2.872407362,30.33906132,10.56224187
Enriched,7,14,C,1,C1,0.537,-17.7891354,2.843573819,23.02497512,8.097196199
Enriched,7,14,C,3,C3,1.741,-17.0698068,3.306062166,33.52601145,10.14076861
Enriched,7,14,C,6,C6,0.996,-17.6205123,4.497439081,37.26578767,8.286001656
Enriched,7,14,C,8,C8,2.111,-16.6399641,2.694018511,28.3543379,10.52492319
Control,7,14,A,2,A2,2.123,-17.2091889,2.712878388,30.24116218,11.14726053
Control,7,14,A,4,A4,2.247,-17.6010183,3.472328583,39.91092795,11.49399516
Control,7,14,A,6,A6,1.666,-19.7590041,3.216777549,38.59403182,11.99773103
Control,7,14,A,8,A8,2.106,-16.8729174,3.067293645,41.80692658,13.62990683
Control,7,14,B,2,B2,1.037,-19.6235208,2.550210201,34.26535858,13.43628795
Control,7,14,B,4,B4,2.722,-20.8857573,3.127044815,36.48621,11.66795239
Control,7,14,B,6,B6,1.315,-19.9393236,3.265534316,44.60871634,13.66046473
Control,7,14,B,8,B8,3.028,-17.5893219,2.828866542,35.13913777,12.42163151
Control,7,14,C,2,C2,2.048,-19.5747858,2.936108499,34.11372999,11.61868848
Control,7,14,C,4,C4,3.333,-18.8418114,3.159688093,40.51792164,12.82339283
Control,7,14,C,6,C6,2.205,-19.2277926,3.072812531,35.93893766,11.69577945
Control,7,14,C,8,C8,2.617,-18.5250339,2.403558531,35.72927072,14.86515525
Enriched,8,20,A,1,A1,0.773,-18.8642295,4.436224137,45.25548251,10.20135167
Enriched,8,20,A,2,A2,0.819,-17.6556015,3.671731927,41.91049318,11.4143663
Enriched,8,20,A,3,A3,0.727,-19.093284,4.242799072,46.91046338,11.0564895
